0.83837,0.44727,0.97898
0.011342,0.014603,0.01945
1,0.75059,0.50246
0.69042,1.0672e-07,3.3827e-06
1,0.50528,0.47362
0.38448,1,0.85617
0.99987,1.0875e-06,0.7893
0.36488,0.40959,0.24332
0.4227,0.88781,0.86527
0.6471,0.99999,4.278e-07
0.33637,0.97358,0.99964
0.1479,0.9424,6.3736e-08
0.82559,0.46484,0.79612
0.31512,4.5015e-07,1
0.8322,0.87415,2.6657e-06
1,0.0041465,0.59923
0.98895,1,0.27418
0.30524,0.91475,0.68859
0.72992,0.0032154,0.83739
0.0048718,0.013034,1
0.8227,0.43017,0.21589
0.87601,0.93766,0.54759
0.4061,0.42351,0.4578
0.95697,0.94101,0.55693
0.33818,0.9144,0.72249
0.64402,0.3692,0.50404
0.003263,0.00035307,0.003942
0.34223,0.99997,0.71205
1,1.5788e-06,1
0.89207,0.94606,0.48203
0.49107,0.0030733,1
3.5717e-07,2.1488e-08,2.4313e-08
0.0028731,0.0005395,0.25272
1,0.15406,0.53575
0.49879,0.18785,0.21129
1,0.99999,0.34547
0.99997,0.46667,0.87754
0.95887,0.33261,0.98506
0.36127,0.60616,0.87205
0.1188,0.601,0.83639
0.74762,0.30229,0.27354
0.19622,0.41101,0.17615
0.23691,0.79637,0.401
1,0.34143,0.4948
0.0008204,1,8.1878e-06
0.32701,0.58548,1
0.0073972,0.00061259,0.2076
0.88897,1,0.22147
0.28911,0.42479,0.73895
0.71413,0.39509,0.42458
